priority,match_type,pattern,category,subcategory,discretionary
"30","keyword","T-MOBILE","Utilities","Cell phone","No"
"30","keyword","VERIZON","Utilities","Cell phone","No"
"30","keyword","SAN DIEGO GAS","Utilities","Electric/gas","No"
"30","keyword","SDGE","Utilities","Electric/gas","No"
"30","keyword","ORKIN","Utilities","Pest Control","Yes"
"30","keyword","WASTE MANAGEMENT","Utilities","Trash","No"
"30","keyword","PDMWD","Utilities","Water","No"
"30","keyword","UNITED","Travel","Flights","Yes"
"20","keyword","CHASE CREDIT CRD AUTOPAY","Transfer","Payment","No"
"90","keyword","ONLINE TRANSFER TO CHK","Transfer","Transfer","No"
"5","keyword","CHECK 156","Home","Home improvement","No"
"5","keyword","CHECK 157","Transportation","Car Detailing","Yes"
"5","keyword","CHECK 155","Entertainment","Activity","Yes"
"5","keyword","CLIPPING","Entertainment","Music","Yes"
"5","merchant","SPRINGFIELD BRANCH","Food and Drink","Snacks","Yes"
"5","merchant","CTLP JEREMYS HEALTHY V","Food and Drink","Snacks","Yes"
"5","merchant","THE OUTPOST","Food and Drink","Snacks","Yes"
